"","title","year","length","rating","votes","budget","budget class"
"25250","Incredibles, The",2004,121,8.3,30749,92000000,"90-100"
"25251","Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?, The",1964,82,2.2,695,38000,"0-10"
"25252","Incredibly True Adventure of Two Girls in Love, The",1995,94,6.5,795,250000,"0-10"
"25264","Indecent Proposal",1993,117,5.3,7397,38000000,"30-40"
"25272","Independence Day",1996,153,6.1,61831,75000000,"70-80"
"25291","Indian in the Cupboard, The",1995,96,5.8,1430,45000000,"40-50"
"25292","Indiana Jones and the Last Crusade",1989,127,8.1,61583,48000000,"40-50"
"25293","Indiana Jones and the Temple of Doom",1984,118,7.2,34880,28000000,"20-30"
"25330","Inferno",1980,102,6.2,1245,3000000,"0-10"
"25348","Informer, The",1935,91,7.3,599,243000,"0-10"
"25397","Innocence Project, The",2004,26,9.8,6,1000,"0-10"
"25398","Innocent",2001,16,7,8,25000,"0-10"
"25414","Innsmouth Legacy",2004,10,6.4,8,1000,"0-10"
"25435","Inseminoid",1981,93,2.8,248,2000000,"0-10"
"25439","Inside",2002,8,7.4,36,5000,"0-10"
"25442","Inside Daisy Clover",1965,128,6.1,340,4500000,"0-10"
"25464","Insider, The",1999,157,8,28780,68000000,"60-70"
"25465","Insight of Evil",2003,80,5.1,11,120000,"0-10"
"25473","Insomnia",2001,6,7.1,13,0,"0-10"
"25474","Insomnia",2002,118,7.3,22235,46000000,"40-50"
"25476","Insomniac's Nightmare, An",2003,31,7,57,20000,"0-10"
"25483","Inspector Gadget",1999,78,4,5288,75000000,"70-80"
"25490","Inspiration",1931,74,6,65,438000,"0-10"
"25494","Instinct",1999,126,6.1,6298,55000000,"50-60"
"25500","Insutooru",2004,94,6.1,7,2000000,"0-10"
"25505","Intended, The",2002,110,6.8,40,3800000,"0-10"
"25515","Interiors",1978,93,7.1,1736,10000000,"10-20"
"25517","Intermezzo: A Love Story",1939,70,6.7,305,800000,"0-10"
"25518","Intermission",2003,102,6.4,1971,5000000,"0-10"
"25519","Intermission",2004,14,7.6,16,30000,"0-10"
"25536","Interpreter, The",2005,128,6.6,4678,80000000,"80-90"
"25539","Interruption, The",2004,25,5.5,14,70000,"0-10"
"25541","Interstate 60",2002,116,7.7,2495,7000000,"0-10"
"25549","Interview with the Assassin",2002,88,6.7,409,750000,"0-10"
"25550","Interview with the Vampire: The Vampire Chronicles",1994,123,7.2,26698,50000000,"50-60"
"25565","Intimations",2004,20,8,9,39000,"0-10"
"25579","Into the Sun",2005,97,4,481,16000000,"10-20"
"25583","Intolerable Cruelty",2003,100,6.6,11967,60000000,"60-70"
"25587","Intolerance: Love's Struggle Through the Ages",1916,197,7.8,1493,385907,"0-10"
"25596","Intruder",1989,83,5.4,264,100000,"0-10"
"25599","Intruder, The",1962,84,8,163,80000,"0-10"
"25612","Invaders from Mars",1986,99,4.6,675,12000000,"10-20"
"25617","Invasion U.S.A.",1985,107,3.9,692,10000000,"10-20"
"25618","Invasion USA",1952,73,2.8,130,127000,"0-10"
"25623","Invasion of the Blood Farmers",1972,84,3.1,93,40000,"0-10"
"25624","Invasion of the Body Snatchers",1956,80,7.8,5286,417000,"0-10"
"25628","Invasion of the Space Preachers",1990,100,4.7,26,100000,"0-10"
"25631","Invasions barbares, Les",2003,112,7.9,4900,5000000,"0-10"
"25643","Invincible Kung Fu Guy, The",1994,23,8.3,6,3000,"0-10"
"25646","Invisible Agent",1942,81,6,78,322000,"0-10"
"25664","Invisible Stripes",1939,81,6.8,111,500000,"0-10"
"25676","Invitation to the Dance",1956,93,6.4,86,1500000,"0-10"
"25677","Invitation to the Wedding",1985,90,4.3,7,8000000,"0-10"
"25736","Irma la Douce",1963,135,7.2,1964,5000000,"0-10"
"25743","Iron Giant, The",1999,86,7.9,15151,48000000,"40-50"
"25764","Irrefutable Truth About Demons, The",2000,90,5.3,340,500000,"0-10"
"25770","Is It True What They Say About Ann?",2004,40,7.3,25,5000,"0-10"
"25787","Ish HaHashmal",2003,90,4.5,6,900000,"0-10"
"25791","Ishtar",1987,107,3.7,3479,40000000,"40-50"
"25804","Island in the Sky",1953,109,5.5,100,967000,"0-10"
"25805","Island in the Sun",1957,119,5.8,102,2250000,"0-10"
"25808","Island of Dr. Moreau, The",1977,99,5.4,620,6000000,"0-10"
"25809","Island of Dr. Moreau, The",1996,99,4,5983,40000000,"40-50"
"25821","Island, The",1980,114,4.7,434,22000000,"20-30"
"25823","Island, The",2000,4,9.8,5,30000,"0-10"
"25835","Isn't She Great",2000,95,4.8,688,36000000,"30-40"
"25850","Issues 101",2002,90,3.6,74,75000,"0-10"
"25862","It Came from Hollywood",1982,80,5.5,240,5000000,"0-10"
"25863","It Came from Outer Space",1953,81,6.4,798,800000,"0-10"
"25870","It Happened Here",1966,97,6.5,160,20000,"0-10"
"25872","It Happened One Night",1934,105,8.3,7924,325000,"0-10"
"25881","It Happened on 5th Avenue",1947,116,7.6,69,1700000,"0-10"
"25898","It Started with Eve",1941,90,7.4,136,1166000,"0-10"
"25911","It's Always Fair Weather",1955,102,7,324,2062256,"0-10"
"25918","It's Hard",2000,13,4.8,5,15000,"0-10"
"25921","It's Impossible to Learn to Plow by Reading Books",1988,85,5.2,58,3000,"0-10"
"25958","It's a Mad Mad Mad Mad World",1963,192,7.2,5891,9400000,"0-10"
"25962","It's a Wonderful Life",1946,118,8.6,41199,3180000,"0-10"
"25977","Italian Job, The",2003,111,6.9,18496,60000000,"60-70"
"26040","J-K Conspiracy, The",2004,89,9.2,20,44000,"0-10"
"26048","JFK",1991,206,7.8,26456,40000000,"40-50"
"26055","Jabberwocky",1977,105,6,2109,500000,"0-10"
"26057","Jack",1996,113,5.2,5256,45000000,"40-50"
"26062","Jack Be Nimble",1993,92,5.8,123,750000,"0-10"
"26066","Jack Frost",1998,101,4.5,2130,50000000,"50-60"
"26078","Jack and the Beanstalk",1952,78,5.2,268,683000,"0-10"
"26082","Jack of Diamonds",2001,84,1.7,6,1500000,"0-10"
"26094","Jackal, The",1997,124,5.7,12753,60000000,"60-70"
"26098","Jackass: The Movie",2002,87,6.1,8893,5000000,"0-10"
"26100","Jacket, The",2005,102,6.4,1564,19000000,"10-20"
"26102","Jackie Brown",1997,154,7.5,28891,12000000,"10-20"
"26106","Jackpot",2001,97,5.2,213,400000,"0-10"
"26116","Jacob's Ladder",1990,115,7.3,8901,25000000,"20-30"
"26124","Jade",1995,107,4.8,2380,50000000,"50-60"
"26125","Jade Mask, The",1945,66,5.7,64,75000,"0-10"
"26173","Jake's Booty Call",2003,77,7,10,50000,"0-10"
"26175","Jakob the Liar",1999,120,5.9,2544,15000000,"10-20"
"26189","James Dean Story, The",1957,81,5.7,109,35000,"0-10"
"26194","James and the Giant Peach",1996,79,6.6,3144,38000000,"30-40"
"26206","Jane Austen's Mafia!",1998,83,4.8,2999,10000000,"10-20"
"26238","Japanese Story",2003,105,7,1330,5740000,"0-10"
"26249","Jason Goes to Hell: The Final Friday",1993,91,3.9,2651,2500000,"0-10"
"26250","Jason X",2001,85,4.6,5975,14000000,"10-20"
"26251","Jason and the Argonauts",1963,104,7.2,2408,1000000,"0-10"
"26252","Jason's Lyric",1994,119,6,445,7000000,"0-10"
"26261","Jaws",1975,130,8.2,46978,12000000,"10-20"
"26264","Jaws 3-D",1983,99,3.2,5028,20500000,"20-30"
"26267","Jaws: The Revenge",1987,91,2.6,5365,23000000,"20-30"
"26269","Jay and Silent Bob Strike Back",2001,104,6.9,24211,22000000,"20-30"
"26324","Jeepers Creepers",2001,90,5.4,10973,10000000,"10-20"
"26325","Jeepers Creepers II",2003,104,5.2,4069,25000000,"20-30"
"26328","Jefferson in Paris",1995,139,5.6,665,14000000,"10-20"
"26340","Jelly Pilgrim",2004,4,2,6,60000,"0-10"
"26358","Jennifer's Shadow",2004,96,5.1,17,1000000,"0-10"
"26383","Jerry Maguire",1996,139,7.3,34623,50000000,"50-60"
"26385","Jerry and Tom",1998,106,6.7,447,5000000,"0-10"
"26393","Jersey Girl",2004,102,6.4,6853,35000000,"30-40"
"26401","Jesse James",1939,106,7.1,373,1600000,"0-10"
"26412","Jesus",1979,117,5.9,316,6000000,"0-10"
"26420","Jesus' Son",1999,107,6.9,2291,2500000,"0-10"
"26423","Jet Attack",1958,68,3.4,32,100000,"0-10"
"26454","Jezebel",1938,104,7.4,1163,1250000,"0-10"
"26502","Jim the World's Greatest",1976,94,5,13,100000,"0-10"
"26509","Jimmy Hollywood",1994,112,5.3,749,20000000,"20-30"
"26511","Jimmy Neutron: Boy Genius",2001,84,6,2280,25000000,"20-30"
"26514","Jimmy Show, The",2001,99,4.6,145,1000000,"0-10"
"26528","Jing Gai'er",2004,108,8.9,14,700000,"0-10"
"26529","Jing cha gu shi III: Chao ji jing cha",1992,95,6.7,2024,900000,"0-10"
"26535","Jing wu men",1972,107,6.7,1667,100000,"0-10"
"26544","Jingle All the Way",1996,88,4.7,6246,60000000,"60-70"
"26557","Jisatsu saakuru",2002,99,6.8,1311,250000,"0-10"
"26563","Jitterbugs",1943,75,5.7,74,310600,"0-10"
"26564","Jitters, The",1989,95,2.5,27,475000,"0-10"
"26569","Jizda",1994,90,7.5,196,30000,"0-10"
"26575","Joan the Woman",1917,138,7.2,56,302976,"0-10"
"26586","Joe",1970,102,6.6,361,106000,"0-10"
"26593","Joe Dirt",2001,91,5.1,5514,16000000,"10-20"
"26606","Joe Somebody",2001,98,5.5,1937,38000000,"30-40"
"26609","Joe's Apartment",1996,80,5,2169,13000000,"10-20"
"26629","John Boorman Stole My Screenplay",2004,3,2.8,5,2000,"0-10"
"26632","John Goldfarb, Please Come Home",1965,96,4.8,170,4000000,"0-10"
"26640","John Johnson's Shadowhunters",2004,92,6,5,2000,"0-10"
"26644","John Q",2002,116,6.4,8952,36000000,"30-40"
"26669","Johnny English",2003,87,5.6,8125,35000000,"30-40"
"26671","Johnny Firecloud",1975,94,5.1,34,200000,"0-10"
"26682","Johnny Mnemonic",1995,96,4.7,8258,26000000,"20-30"
"26695","Johnny Suede",1991,97,5.8,594,500000,"0-10"
"26706","Johnson Family Vacation",2004,97,3.6,955,12000000,"10-20"
"26741","Jonah: A VeggieTales Movie",2002,82,6.2,810,15000000,"10-20"
"26746","Jonathan Livingston Seagull",1973,120,4.6,250,1500000,"0-10"
"26769","Josh Jarman",2004,96,5.4,21,1300000,"0-10"
"26770","Josh and S.A.M.",1993,89,5.2,281,18000000,"10-20"
"26777","Josie and the Pussycats",2001,98,5.2,4508,22000000,"20-30"
"26809","Journey of Jared Price, The",2000,96,5.8,155,30000,"0-10"
"26821","Journey to the Seventh Planet",1962,83,4.2,124,74600,"0-10"
"26834","Joy",1983,102,5,49,2000000,"0-10"
"26837","Joy Ride",2001,97,6.6,8132,23000000,"20-30"
"26871","Judge Dredd",1995,96,4.6,9979,90000000,"90-100"
"26881","Judgment",2001,105,4.6,106,11000000,"10-20"
"26883","Judgment at Nuremberg",1961,186,8.2,3336,3000000,"0-10"
"26889","Judith of Bethulia",1914,61,6.9,47,36000,"0-10"
"26926","Jui kuen II",1994,99,7.5,4628,2000000,"0-10"
"26950","Julie Walking Home",2002,118,7.3,190,5000000,"0-10"
"26963","Jumanji",1995,104,6,14874,65000000,"60-70"
"26981","Junebug and Hurricane",2004,9,6.5,18,26000,"0-10"
"26982","Jung (War) in the Land of the Mujaheddin",2001,114,8,27,275000,"0-10"
"26995","Jungle Book 2, The",2003,72,5.2,764,20000000,"20-30"
"26997","Jungle Book, The",1994,111,5.9,1692,27000000,"20-30"
"27004","Jungle Fever",1991,132,6.4,2829,14000000,"10-20"
"27017","Jungle Princess, The",1936,85,7.2,22,300000,"0-10"
"27028","Junior",1985,80,4.1,57,350000,"0-10"
"27052","Jurassic Park",1993,127,7.4,57473,63000000,"60-70"
"27053","Jurassic Park III",2001,92,5.6,20690,93000000,"90-100"
"27055","Jurk, De",1996,95,6.8,274,2650000,"0-10"
"27056","Juror, The",1996,118,5.3,2920,44000000,"40-50"
"27062","Just Add Pepper",2002,90,5.1,6,75000,"0-10"
"27074","Just Imagine",1930,109,5.6,94,250000,"0-10"
"27080","Just Looking",1999,97,6.2,436,3000000,"0-10"
"27095","Just Visiting",2001,93,5.6,2212,40000000,"40-50"
"27112","Just the Ticket",1999,115,5.5,610,12000000,"10-20"
"27141","Juwanna Mann",2002,91,3.9,885,15600000,"10-20"
"27148","K-19: The Widowmaker",2002,140,6.6,8292,100000000,"100-110"
"27150","K-PAX",2001,120,7.2,17235,48000000,"40-50"
"27188","Kafka",1991,92,6.9,1751,11000000,"10-20"
"27190","Kagemusha",1980,162,7.9,3536,6000000,"0-10"
"27255","Kalifornia",1993,118,6.6,8113,9000000,"0-10"
"27272","Kama Sutra: A Tale of Love",1996,114,5.5,1491,3000000,"0-10"
"27322","Kangaroo Jack",2003,89,3.9,3661,60000000,"60-70"
"27335","Kansas City",1996,116,5.8,1077,19000000,"10-20"
"27369","Karakter",1997,122,7.7,2687,4500000,"0-10"
"27430","Kate & Leopold",2001,123,6.3,8060,48000000,"40-50"
"27474","Kayitz Shel Aviya, Ha-",1988,95,7.3,57,350000,"0-10"
"27483","Kaze, Ghost Warrior",2004,23,7.4,14,5000,"0-10"
"27488","Keane",2004,100,6.3,34,850000,"0-10"
"27508","Keep, The",1983,96,5.4,1217,6000000,"0-10"
"27510","Keeper of the Past",2005,18,9.9,7,30000,"0-10"
"27513","Keeper, The",2004,95,4.5,151,4000000,"0-10"
"27519","Keeping the Faith",2000,128,6.8,11351,30000000,"30-40"
"27533","Kejar Amerika",2004,86,6.7,19,100000,"0-10"
"27560","Kentucky Fried Movie, The",1977,90,6.4,3756,600000,"0-10"
"27585","Key West: City of Colors",2004,64,8.4,5,90000,"0-10"
"27591","Keyhole, The",1933,69,6.3,50,169000,"0-10"
"27594","Keys of the Kingdom, The",1944,137,6.8,197,3000000,"0-10"
"27626","Khwaab",2004,86,8,5,75000,"0-10"
"27638","Kicked in the Head",1997,87,4.2,271,4000000,"0-10"
"27669","Kid from Borneo, The",1933,18,8,65,21500,"0-10"
"27679","Kid, The",1921,54,8.2,2687,250000,"0-10"
"27681","Kid, The",2000,104,6.1,5418,65000000,"60-70"
"27695","Kids",1995,91,6.6,9099,1500000,"0-10"
"27696","Kids Are Alright, The",1979,101,7.6,753,2000000,"0-10"
"27709","Kiki",1931,87,6.8,6,810568,"0-10"
"27719","Kill Bill: Vol. 1",2003,111,8.3,65026,55000000,"50-60"
"27720","Kill Bill: Vol. 2",2004,136,8.3,44189,30000000,"30-40"
"27722","Kill Me Again",1989,94,6.2,643,4000000,"0-10"
"27737","Kill the Scream Queen",2004,74,1.3,5,5000,"0-10"
"27746","Killer Bean 2: The Party",2000,7,7,110,2800,"0-10"
"27751","Killer Eye, The",1999,72,2.2,210,400000,"0-10"
"27761","Killer Klowns from Outer Space",1988,88,5.3,2702,2000000,"0-10"
"27769","Killer Shrews, The",1959,69,3.3,403,123000,"0-10"
"27776","Killer of Sheep",1977,83,7.5,100,100000,"0-10"
"27779","Killer's Kiss",1955,67,6.6,1871,75000,"0-10"
"27783","Killers",1996,90,6.3,219,100000,"0-10"
"27784","Killers",1997,86,2.8,127,100000,"0-10"
"27793","Killing Box, The",1993,80,4,127,1200000,"0-10"
"27802","Killing Kevin",2004,22,8,6,20000,"0-10"
"27805","Killing Me Softly",2002,104,5.4,1771,25000000,"20-30"
"27808","Killing Spree",1987,90,3.6,53,75000,"0-10"
"27812","Killing Zoe",1994,99,6.2,4834,1500000,"0-10"
"27821","Killing, The",1956,85,8.1,6980,320000,"0-10"
"27827","Kimberly",1999,106,5.3,231,2000000,"0-10"
"27851","King & Country",1964,89,7.9,144,300000,"0-10"
"27852","King Arthur",2004,140,6,14272,90000000,"90-100"
"27863","King Kong",1933,100,7.9,10301,670000,"0-10"
"27864","King Kong",1976,134,5.3,3181,24000000,"20-30"
"27874","King Richard and the Crusaders",1954,114,5.3,71,3000000,"0-10"
"27878","King Solomon's Mines",1985,100,4.4,1662,12500000,"10-20"
"27891","King of Comedy, The",1983,109,7.5,6189,20000000,"20-30"
"27893","King of Jazz, The",1930,105,6.8,60,2000000,"0-10"
"27895","King of Kings, The",1927,155,7.9,178,2500000,"0-10"
"27908","King of the Hill",1972,18,9.6,5,45000,"0-10"
"27909","King of the Hill",1993,109,7.4,1233,8000000,"0-10"
"27918","King of the Mountain",1981,90,4.1,49,2000000,"0-10"
"27941","Kingdom of Heaven",2005,145,7,6498,130000000,"130-140"
"27942","Kingdom of the Spiders",1977,97,5.4,484,500000,"0-10"
"27943","Kingdom of the Vampire",1991,70,6.6,7,2500,"0-10"
"27945","Kingpin",1996,117,6.6,10643,25000000,"20-30"
"27961","Kinky Coaches and the Pom Pom Pussycats, The",1981,91,1.9,16,2500000,"0-10"
"27966","Kinsey",2004,118,7.6,3225,11000000,"10-20"
"27983","Kismet",1944,100,6.2,105,3000000,"0-10"
"27984","Kismet",1955,113,5.8,205,2692960,"0-10"
"27989","Kiss & Tell",1996,96,5.7,68,1000000,"0-10"
"28005","Kiss Me, Stupid",1964,125,7,712,3500000,"0-10"
"28023","Kiss of the Dragon",2001,98,6.2,7887,25000000,"20-30"
"28025","Kiss of the Tarantula",1976,85,3.8,22,200000,"0-10"
"28027","Kiss on the Nose, A",2004,13,9.5,11,25000,"0-10"
"28028","Kiss or Kill",1997,96,6.2,590,2000000,"0-10"
"28029","Kiss the Blood Off My Hands",1948,79,5.9,58,1100000,"0-10"
"28032","Kiss the Girls",1997,111,6.4,9041,27000000,"20-30"
"28034","Kiss the Sky",1999,107,5.6,263,6000000,"0-10"
"28036","Kiss, The",1929,89,6.3,90,257000,"0-10"
"28039","Kiss, The",2004,25,5.8,5,6000,"0-10"
"28045","Kissin' Cousins",1964,96,4.3,262,800000,"0-10"
"28047","Kissing Jessica Stein",2001,97,7,4236,1000000,"0-10"
"28083","Klansman, The",1974,112,4.3,130,5000000,"0-10"
"28129","Knack, The",1965,84,6.7,364,364000,"0-10"
"28140","Knight's Tale, A",2001,132,6.5,15006,41000000,"40-50"
"28153","Knock Off",1998,91,3.8,1947,35000000,"30-40"
"28194","Kohav Ha'Kahol, Ha-",1995,86,7.2,26,100000,"0-10"
"28273","Konga",1961,90,3.1,122,500000,"0-10"
"28295","Kontroll",2003,107,7.8,1174,500000,"0-10"
"28310","Korea",1995,87,6.2,32,500000,"0-10"
"28381","Krasnaya palatka",1971,121,5.9,202,10000000,"10-20"
"28416","Krokus: As Long as We Live",2004,82,7.3,7,200000,"0-10"
"28420","Kronos",1957,78,5.4,250,160000,"0-10"
"28446","Kruimeltje",1999,119,6.7,224,5000000,"0-10"
"28451","Krush Groove",1985,97,5.5,253,3000000,"0-10"
"28501","Kundun",1997,128,7.1,4306,28000000,"20-30"
"28509","Kung Pow: Enter the Fist",2002,82,5.1,5871,10000000,"10-20"
"28602","L.A. Confidential",1997,138,8.4,69600,35000000,"30-40"
"28604","L.A. Knights",2003,20,2.5,15,15000,"0-10"
"28609","L.A. Twister",2004,92,6.4,99,450000,"0-10"
"28619","LD 50 Lethal Dose",2003,97,5,88,8000000,"0-10"
"28623","La Cucaracha",1934,20,6.2,21,50000,"0-10"
"28645","Labyrinth",1986,101,7,12661,25000000,"20-30"
"28695","Lady Be Good",1941,112,6.6,80,863460,"0-10"
"28740","Lady Windermere's Fan",1925,89,7.8,77,320000,"0-10"
"28747","Lady and the Tramp",1955,75,7.4,6952,4000000,"0-10"
"28754","Lady from Shanghai, The",1947,79,7.6,2377,2000000,"0-10"
"28761","Lady in White",1988,112,6.7,656,4700000,"0-10"
"28773","Lady of the Lake",1998,82,3.9,46,60000,"0-10"
"28787","Ladyhawke",1985,121,6.8,7090,20000000,"20-30"
"28790","Ladykillers, The",2004,104,6.4,10580,35000000,"30-40"
"28809","Lair of the White Worm, The",1988,93,5.4,1716,2500000,"0-10"
"28817","Lake Placid",1999,82,5.2,7836,27000000,"20-30"
"28850","Lana's Rain",2002,107,7.1,56,215000,"0-10"
"28857","Land Before Time, The",1988,70,6.4,3630,12300000,"10-20"
"28866","Land of College Prophets, The",2005,83,6.5,25,80000,"0-10"
"28876","Land of the Pharaohs",1955,105,6.3,423,2900000,"0-10"
"28917","Lara Croft Tomb Raider: The Cradle of Life",2003,117,5.2,9103,90000000,"90-100"
"28918","Lara Croft: Tomb Raider",2001,100,5.2,21861,80000000,"80-90"
"28941","Las Vegas Weekend",1986,83,1.1,10,2000000,"0-10"
"28950","Lashou shentan",1992,131,7.9,6568,4500000,"0-10"
"28958","Last Action Hero",1993,130,5.4,15266,60000000,"60-70"
"28968","Last Big Attraction, The",1999,90,2.6,23,60000,"0-10"
"28972","Last Breeze of Summer",1991,30,7.6,5,60000,"0-10"
"28973","Last Broadcast, The",1998,86,5.7,967,0,"0-10"
"28978","Last Castle, The",2001,131,6.4,7233,60000000,"60-70"
"28979","Last Chair",2003,30,9,12,25000,"0-10"
"28984","Last Chase, The",1981,101,4.3,147,4900000,"0-10"
"28998","Last Days of Pompeii, The",1935,96,6.5,106,1000000,"0-10"
"29001","Last Dragon, The",1985,109,5.6,1343,10000000,"10-20"
"29005","Last Emperor, The",1987,219,7.7,9507,25000000,"20-30"
"29016","Last Full Measure, The",2004,18,7.5,19,50000,"0-10"
"29031","Last Horror Film, The",1982,87,3.9,111,2000000,"0-10"
"29032","Last Horror Movie, The",2003,80,5.2,409,780000,"0-10"
"29035","Last House on the Left, The",1972,85,5.5,2522,87000,"0-10"
"29049","Last Man Standing",1996,101,5.7,6751,67000000,"60-70"
"29058","Last Movie, The",1971,108,3.9,145,1000000,"0-10"
"29061","Last Orders",2001,109,7.1,1583,12000000,"10-20"
"29067","Last Party 2000",2001,90,6.3,205,1000000,"0-10"
"29069","Last Patrol, The",2000,95,2.9,236,8200000,"0-10"
"29070","Last Picture Show, The",1971,118,8,5340,1300000,"0-10"
"29082","Last Resort, The",1997,86,5,62,5000000,"0-10"
"29097","Last Rung On the Ladder, The",1987,12,5.5,6,1500,"0-10"
"29099","Last Samurai, The",2003,154,7.9,31668,100000000,"100-110"
"29102","Last Seduction, The",1994,110,7.2,4157,2500000,"0-10"
"29108","Last Soviet Movie, The",2003,80,7.6,6,3500000,"0-10"
"29109","Last Stagecoach West, The",1957,87,6.3,9,150000,"0-10"
"29113","Last Starfighter, The",1984,101,6.2,4890,15000000,"10-20"
"29123","Last Temptation of Christ, The",1988,164,7.5,8074,7000000,"0-10"
"29124","Last Time I Committed Suicide, The",1997,92,5.3,530,4000000,"0-10"
"29125","Last Time I Saw Archie, The",1961,98,5.7,73,2000000,"0-10"
"29143","Last Word",2002,16,8,6,8500,"0-10"
"29165","Last of the Mohicans, The",1992,117,7.5,15293,40000000,"40-50"
"29179","Late Bloomer",2004,13,9,6,12000,"0-10"
"29192","Late Veracity",2002,20,8,5,50000,"0-10"
"29202","Latter Days",2003,107,7.3,1396,850000,"0-10"
"29214","Laughing Dead",1998,85,7.6,22,200000,"0-10"
"29283","Lawn Dogs",1997,101,7.5,1856,8000000,"0-10"
"29285","Lawnmower Man, The",1987,12,5.6,17,5000,"0-10"
"29286","Lawnmower Man, The",1992,140,5,5799,10000000,"10-20"
"29287","Lawrence of Arabia",1962,227,8.6,31230,15000000,"10-20"
"29288","Laws of Attraction",2004,90,5.7,2349,28000000,"20-30"
"29290","Laws of Gravity",1992,100,6.5,283,38000,"0-10"
"29319","League of Extraordinary Gentlemen, The",2003,110,5.4,15647,78000000,"70-80"
"29323","League of Their Own, A",1992,128,6.9,14318,40000000,"40-50"
"29331","Learning Curve, The",2001,113,5.2,177,1000000,"0-10"
"29338","Leather Jacket Love Story",1997,85,6.1,110,67000,"0-10"
"29340","Leather and Iron",2002,90,5.5,6,650000,"0-10"
"29349","Leave It!",2002,28,8.8,10,30000,"0-10"
"29353","Leaving Las Vegas",1995,111,7.5,18027,4000000,"0-10"
"29382","Leftenan Adnan",2000,127,7.6,16,8000000,"0-10"
"29387","Legacy, The",1978,102,5,241,2500000,"0-10"
"29392","Legal Eagles",1986,116,5.6,2132,35000000,"30-40"
"29394","Legally Blonde",2001,96,6.4,17572,18000000,"10-20"
"29395","Legally Blonde 2: Red, White & Blonde",2003,95,4.4,6293,45000000,"40-50"
"29397","Legend",1985,89,6.1,7744,25000000,"20-30"
"29399","Legend of Bagger Vance, The",2000,126,6.4,7123,60000000,"60-70"
"29403","Legend of Blood Mountain, The",1965,65,1.1,19,750000,"0-10"
"29404","Legend of Boggy Creek, The",1973,85,4.3,273,100000,"0-10"
"29421","Legend of Razorback, The",2002,25,5.1,29,50000,"0-10"
"29429","Legend of the Lone Ranger, The",1981,98,4.3,307,18000000,"10-20"
"29430","Legend of the Lost",1957,109,4.8,195,1750000,"0-10"
"29431","Legend of the Mummy",1997,96,2.4,257,2000000,"0-10"
"29439","Legends of the Fall",1994,133,6.7,13327,30000000,"30-40"
"29444","Leggenda del pianista sull'oceano, La",1998,120,7.6,3599,9000000,"0-10"
"29451","Legion of the Dead",2001,92,3.4,374,2700000,"0-10"
"29453","Legion of the Night",1995,85,4,27,80000,"0-10"
"29456","Legionnaire",1998,98,4.5,1773,35000000,"30-40"
"29489","Lemony Snicket's A Series of Unfortunate Events",2004,108,6.7,8402,125000000,"120-130"
"29498","Lengua asesina, La",1996,98,4,244,4000000,"0-10"
"29538","Leprechaun",1993,92,3.6,2288,900000,"0-10"
"29539","Leprechaun 2",1994,86,3.6,648,2000000,"0-10"
"29549","Less Like Me",2004,121,7.6,25,30000,"0-10"
"29631","Lethal Weapon",1987,117,7.5,20041,15000000,"10-20"
"29634","Lethal Weapon 4",1998,127,6.3,17758,140000000,"140-150"
"29696","Levity",2003,100,6.4,1459,7500000,"0-10"
"29710","Leylasede",1995,100,6.6,29,700000,"0-10"
"29722","Lian ai zhong de Bao Bei",2004,95,5.4,38,5000000,"0-10"
"29729","Lianna",1983,110,6.9,258,300000,"0-10"
"29732","Liar Liar",1997,86,6.5,22969,45000000,"40-50"
"29742","Libera me",2000,119,6.4,58,4000000,"0-10"
"29746","Liberata Me",2002,27,6.7,15,66000,"0-10"
"29760","Liberty Bound",2004,90,4.7,60,100000,"0-10"
"29762","Liberty Stands Still",2002,92,5.6,1560,11000000,"10-20"
"29772","Licence to Kill",1989,133,6.2,8523,40000000,"40-50"
"29773","License Exam",2004,2,7,6,1000,"0-10"
"29774","License to Drive",1988,88,5.3,2163,8000000,"0-10"
"29819","Life",1999,108,5.8,4857,75000000,"70-80"
"29823","Life Aquatic with Steve Zissou, The",2004,118,7.3,9170,25000000,"20-30"
"29834","Life Less Ordinary, A",1997,103,6.4,8209,12000000,"10-20"
"29850","Life and Times of MC Beer Bong, The",2004,85,8.8,6,1000,"0-10"
"29852","Life as a House",2001,127,7.5,7696,18000000,"10-20"
"29857","Life in Bed",2003,75,8.3,6,750000,"0-10"
"29859","Life of Brian",1979,94,8.1,33325,4000000,"0-10"
"29860","Life of David Gale, The",2003,130,7.1,10580,50000000,"50-60"
"29863","Life of Jimmy Dolan, The",1933,89,5.4,36,202000,"0-10"
"29886","Lifeforce",1985,101,5.6,2071,25000000,"20-30"
"29904","Light It Up",1999,99,5.7,856,13000000,"10-20"
"29905","Light Sleeper",1992,103,6.8,742,5000000,"0-10"
"29912","Light in the Piazza",1962,102,6.5,162,553280,"0-10"
"29926","Lightning Over Braddock: A Rustbowl Fantasy",1988,80,5.8,9,54000,"0-10"
"29927","Lightning Over Water",1980,116,6.7,132,700000,"0-10"
"29934","Lights of New York",1928,57,5,61,75000,"0-10"
"29947","Like Mike",2002,99,4.9,1484,30000000,"30-40"
"29962","Lilies of the Field",1963,94,7.6,1391,240000,"0-10"
"29984","Lilo & Stitch",2002,86,7.3,10944,80000000,"80-90"
