"","title","year","length","rating","votes","budget","genre"
"17382","Fear of the Dark",2001,150,5.5,10,30000,"drama"
"17392","Fearless Vampire Killers, The",1967,108,7,3452,2000000,"comedy"
"17415","Fedora",1978,114,6.2,271,6727000,"drama"
"17431","Feet First",1930,93,7,78,647000,"comedy"
"17437","Fei ying",2004,99,5.5,128,15000000,"action"
"17469","Female Trouble",1974,97,7.1,868,25000,"comedy"
"17517","Feng yun xiong ba tian xia",1998,85,6.3,922,10000000,"action"
"17551","Festen",1998,105,8.2,11983,1300000,"drama"
"17589","Few Good Men, A",1992,138,7.5,25237,33000000,"drama"
"17602","Fiddler on the Roof",1971,181,7.6,5893,9000000,"drama"
"17642","Fifteen Minute Show, The",2003,87,8.9,7,3500,"comedy"
"17657","Fight Club",1999,139,8.5,112092,63000000,"drama"
"17669","Fightin' Fools",1941,9,5.2,7,23627,"comedy"
"17676","Fighting Coast Guard",1951,86,6.6,15,532111,"drama"
"17743","Film Geek",2005,78,9.3,7,10000,"comedy"
"17785","Final",2001,111,5.2,330,80000,"drama"
"17817","Final Sale",2004,14,6.7,17,20000,"comedy"
"17834","Finders Keepers, Lovers Weepers!",1968,71,4,69,82000,"drama"
"17836","Finding Forrester",2000,136,7.3,13439,43000000,"drama"
"17837","Finding Graceland",1998,106,6.6,504,10000000,"drama"
"17876","Fintar o Destino",1998,77,6.2,16,850000,"drama"
"17887","Fire Brigade, The",1926,90,7.8,5,249556,"drama"
"17890","Fire Dancer",2002,79,8.2,5,1000000,"drama"
"17920","Firefox",1982,136,5.5,3401,21000000,"action"
"17937","Firestorm",1998,89,4.4,987,19000000,"action"
"17941","Firm, The",1993,154,6.6,14708,42000000,"drama"
"17987","First Wives Club, The",1996,103,5.6,6434,26000000,"comedy"
"17990","First of May, The",1999,111,7.1,88,2500000,"drama"
"17998","Fish Burglars",2004,25,8.2,5,15000,"comedy"
"17999","Fish Called Wanda, A",1988,108,7.7,25035,7500000,"comedy"
"18017","Fishing for Trauster",2004,24,8.2,8,20000,"comedy"
"18087","Fiza",2000,167,7.1,132,1000000,"drama"
"18134","Flash Gordon",1980,111,5.7,5626,35000000,"action"
"18170","Flesh",1968,105,5.7,287,4000,"drama"
"18238","Flight of the Phoenix",2004,113,6,2732,45000000,"action"
"18248","Flintstones in Viva Rock Vegas, The",2000,90,3.7,1712,58000000,"comedy"
"18249","Flintstones, The",1994,91,4.5,8704,45000000,"comedy"
"18261","Flirting with Disaster",1996,92,7,3986,7000000,"comedy"
"18340","Fly, The",1986,92,7,9914,15000000,"drama"
"18382","Focus Group",2004,29,9.5,6,8000,"comedy"
"18401","Follow Me Home",1996,100,7.6,52,220000,"drama"
"18449","Foolish Wives",1922,384,7.6,191,1100000,"drama"
"18484","For Caroline",2002,18,6.7,19,60000,"drama"
"18520","For Your Eyes Only",1981,127,6.7,8061,28000000,"action"
"18552","Forbidden Planet",1956,98,7.7,6736,1900000,"drama"
"18578","Forced March",1989,104,4,16,2700000,"drama"
"18597","Foreigner, The",2003,96,3.1,904,20000000,"action"
"18605","Forever Amber",1947,138,6.5,149,6000000,"drama"
"18634","Forgotten, The",2004,94,5.8,8234,42000000,"drama"
"18662","Fortress",1993,95,5.3,2577,12000000,"action"
"18663","Fortress 2",1999,92,4.2,1027,11000000,"action"
"18708","Four Dead Batteries",2004,96,8.7,19,77000,"comedy"
"18714","Four Feathers, The",2002,125,6.2,4400,80000000,"drama"
"18721","Four Horsemen of the Apocalypse, The",1921,150,7.6,163,800000,"drama"
"18747","Four.50",2003,6,4.7,6,5000,"action"
"18796","Frailty",2001,100,7.4,10551,11000000,"drama"
"18848","Frankenhooker",1990,85,5,520,2500000,"comedy"
"18850","Frankenstein",1931,71,7.9,6045,291000,"drama"
"18851","Frankenstein",1994,123,6,6941,45000000,"drama"
"18871","Frankie and Johnny",1966,87,4.9,212,4500000,"comedy"
"18887","Fratello sole, sorella luna",1972,121,6.4,513,3000000,"drama"
"18918","Freaked",1993,86,5.4,920,11000000,"comedy"
"18919","Freaks",1932,64,7.7,4134,310607,"drama"
"18930","Freddy Got Fingered",2001,87,3.5,9115,15000000,"comedy"
"18932","Freddy Vs. Jason",2003,97,6.1,11109,25000000,"action"
"18935","Freddy's Dead: The Final Nightmare",1991,93,4.3,3618,5000000,"comedy"
"18944","Free Money",1998,91,4.7,619,30000000,"comedy"
"18957","Free, White and 21",1963,104,1.9,13,40000,"drama"
"18961","Freedom Downtime",2001,121,8,236,25000,"documentary"
"18973","Freeway",1996,102,6.5,4961,3000000,"drama"
"18974","Freeway II: Confessions of a Trickbaby",1999,90,4.6,666,2000000,"drama"
"18976","Freeze Frame",2004,99,5.8,189,2000000,"drama"
"18978","Frei parken",1998,7,5.8,7,2000,"comedy"
"19000","French Quarter Undercover",1985,84,4,5,2500000,"action"
"19008","Frequency",2000,118,7.4,15317,31000000,"drama"
"19021","Freud",1962,139,6.4,195,4000000,"drama"
"19022","Freud and Darwin Sitting in a Tree",2000,27,8.3,15,17000,"comedy"
"19029","Frida",2002,123,7.5,8614,12000000,"drama"
"19035","Friday After Next",2002,85,4.9,1659,20000000,"comedy"
"19039","Friday Night Lights",2004,117,7,4290,30000000,"drama"
"19042","Friday the 13th Part 2",1981,87,4.9,3794,1000000,"action"
"19045","Friday the 13th Part VII: The New Blood",1988,90,4.1,2625,3500000,"drama"
"19061","Friendly Persuasion",1956,137,7.5,1020,3000000,"drama"
"19080","Fright Night",1985,106,6.5,3601,9000000,"comedy"
"19094","Frisco Jenny",1932,71,6.6,36,286000,"drama"
"19162","Front Page, The",1974,105,7,1296,4000000,"comedy"
"19186","Frostbite",2005,83,2.8,201,2400000,"comedy"
"19251","Fukkatsu no hi",1980,108,5.7,140,16000000,"drama"
"19263","Full Clip",2004,95,4.1,72,500000,"action"
"19270","Full Metal Jacket",1987,116,8.2,47757,30000000,"drama"
"19271","Full Monty, The",1997,91,7.2,22115,3500000,"comedy"
"19286","Fun with Dick and Jane",1977,95,6.2,512,3000000,"comedy"
"19363","Future of Food, The",2004,88,9.4,13,750000,"documentary"
"19395","G.O.R.A.",2004,127,7.2,1561,5000000,"comedy"
"19406","Gabbianella e il gatto, La",1998,75,6.8,134,6000000,"animation"
"19445","Gaily, Gaily",1969,107,5.1,47,8000000,"comedy"
"19452","Gal Young 'Un",1979,105,5.7,36,94000,"drama"
"19463","Galaxy Quest",1999,102,7.2,22341,45000000,"comedy"
"19484","Gallavants",1984,100,8.1,9,5000000,"animation"
"19517","Game of Their Lives, The",2005,101,6.4,125,20000000,"drama"
"19550","Gandhi",1982,188,8,15879,22000000,"drama"
"19575","Gangs of New York",2002,166,7.3,34808,97000000,"drama"
"19581","Gangster Story",1960,65,4.5,23,75000,"drama"
"19695","Gattaca",1997,101,7.6,26071,36000000,"drama"
"19697","Gatto a nove code, Il",1971,115,6.3,515,1000000,"drama"
"19736","Gay by Dawn",2004,9,9,12,8000,"comedy"
"19809","General's Daughter, The",1999,116,6.1,11128,60000000,"drama"
"19830","Genghis Khan",2004,120,7.9,15,50000000,"action"
"19872","Gentlemen Prefer Blondes",1928,75,7.3,14,352000,"comedy"
"19902","George of the Jungle",1997,92,5.5,6430,55000000,"comedy"
"19912","Georgy Girl",1966,99,7,453,400000,"comedy"
"19928","Geronimo: An American Legend",1993,115,6.2,1233,50000000,"drama"
"19930","Gerry",2002,105,6,1944,3500000,"drama"
"19969","Get a Job",1998,93,2.3,21,750000,"comedy"
"19970","Get on the Bus",1996,120,6.6,1142,2400000,"drama"
"20002","Gettysburg",1993,259,7.5,5191,25000000,"drama"
"20027","Ghost Busters",1984,107,7.5,29762,30000000,"comedy"
"20094","Ghosts of Mars",2001,98,4.6,6368,28000000,"action"
"20095","Ghosts of Mississippi",1996,130,6.4,2268,36000000,"drama"
"20096","Ghosts of the Abyss",2003,43,6.6,664,13000000,"documentary"
"20101","Ghoulies",1985,82,3.2,612,1000000,"comedy"
"20112","Giant",1956,201,7.5,4210,5400000,"drama"
"20120","Giardini dell'Eden, I",1998,95,6.8,17,4000000,"drama"
"20139","Gift, The",2000,111,6.8,12440,10000000,"drama"
"20175","Ginger Snaps",2000,110,6.8,3968,5000000,"comedy"
"20204","Giovane Toscanini, Il",1988,109,4.7,36,14000000,"drama"
"20225","Girl Crazy",1943,99,7,181,1140850,"comedy"
"20240","Girl Missing",1933,69,6.1,33,107000,"comedy"
"20246","Girl Play",2004,80,3.3,63,1000000,"comedy"
"20260","Girl Wrestler",2003,56,8,8,230000,"documentary"
"20302","Girl, Interrupted",1999,127,7,16362,24000000,"drama"
"20374","Give My Regards to Broad Street",1984,108,4.1,320,9000000,"drama"
"20434","Glenn Tilbrook: One for the Road",2004,70,7,9,50000,"documentary"
"20450","Global Heresy",2002,106,5.7,373,12000000,"drama"
"20455","Gloria",1999,108,4.9,1144,30000000,"drama"
"20473","Gmar Gavi'a",1991,105,7.5,38,800000,"drama"
"20477","Go",1999,103,7.4,20663,6500000,"comedy"
"20482","Go Fish",1994,84,5.8,621,15000,"romance"
"20524","God's Army",2000,108,6.4,354,300000,"drama"
"20530","God's Helper",2001,10,7,16,15000,"drama"
"20545","Godfather, The",1972,175,9.1,122755,6000000,"drama"
"20546","Godfather: Part II, The",1974,200,8.9,71363,13000000,"drama"
"20547","Godfather: Part III, The",1990,169,7.3,22385,54000000,"drama"
"20554","Gods and Monsters",1998,105,7.6,9020,3500000,"drama"
"20564","Godzilla",1998,133,4.4,22695,125000000,"action"
"20585","Going Greek",2001,90,4.8,261,198000,"comedy"
"20614","Gojira ni-sen mireniamu",1999,99,5.6,1150,1000000,"action"
"20646","Gold Raiders",1951,56,5.5,16,50000,"comedy"
"20649","Gold Rush, The",1925,82,8.3,6429,923000,"comedy"
"20659","Golden Bowl, The",2000,130,6,1145,15000000,"drama"
"20666","Golden Earrings",1947,95,6.4,120,1000000,"romance"
"20691","GoldenEye",1995,130,6.8,22991,80000000,"action"
"20698","Goldfinger",1964,112,7.8,19754,3000000,"action"
"20743","Gone Fishin'",1997,94,3.8,1884,53000000,"comedy"
"20746","Gone in Sixty Seconds",2000,117,5.7,25400,90000000,"action"
"20773","Good Book, The",1997,81,6.1,9,9000,"action"
"20776","Good Burger",1997,103,4,1714,9000000,"comedy"
"20783","Good Earth, The",1937,138,7.9,473,2800000,"drama"
"20804","Good Man in Africa, A",1994,94,4.6,473,20000000,"comedy"
"20810","Good Morning... and Goodbye!",1967,80,3.5,53,55000,"drama"
"20835","Good Will Hunting",1997,126,7.8,60858,10000000,"drama"
"20839","Good to Go",1986,90,3.2,17,1500000,"drama"
"20869","Goodbye, Mr. Chips",1969,155,6.5,466,9000000,"drama"
"20873","Goodfellas",1990,145,8.6,68219,25000000,"drama"
"20876","Goodnight Irene",2005,14,7.6,8,15000,"drama"
"20878","Goodnite Charlie",2005,119,9.8,34,100000,"action"
"20893","Goonies, The",1985,114,7.2,18895,19000000,"comedy"
"20937","Gory Gory Hallelujah",2003,96,6.4,39,100000,"comedy"
"20939","Gosford Park",2001,137,7.3,16831,15000000,"drama"
"20950","Gossip",1953,10,4.4,5,1000,"drama"
"21025","Grand Prix",1966,179,6.4,971,9000000,"drama"
"21027","Grand Slam",1933,67,5.4,41,164000,"comedy"
"21029","Grand Theft Auto",1977,84,5,263,602000,"comedy"
"21082","Grandma's Boy",1922,60,7.2,109,100000,"comedy"
"21095","Granny, The",1995,85,4.2,142,1000000,"comedy"
"21116","Grave, The",1996,90,5.6,303,4000000,"comedy"
"21118","Gravesend",1997,85,5,111,65000,"drama"
"21132","Grayson",2004,6,8.5,96,17791,"action"
"21167","Great Dictator, The",1940,124,8.4,10465,2000000,"comedy"
"21175","Great Gabble, The",2003,11,9.3,6,8000,"drama"
"21232","Great Train Robbery, The",1903,12,7.4,849,0,"action"
"21239","Great White Hope, The",1970,103,6.9,369,6000000,"drama"
"21246","Greatest Story Ever Told, The",1965,225,6,1097,20000000,"drama"
"21285","Green Mile, The",1999,188,8.1,60142,60000000,"drama"
"21303","Greenskeeper, The",2002,90,4.7,38,80000,"comedy"
"21305","Greetings",1968,88,5.6,349,39000,"comedy"
"21314","Gremlins 2: The New Batch",1990,106,5.9,7780,50000000,"comedy"
"21319","Gretchen & the Night Danger",2004,26,7.5,11,4000,"drama"
"21326","Grey Owl",1999,118,5.7,629,30000000,"drama"
"21327","Grey Zone, The",2001,108,7.3,1553,5000000,"drama"
"21374","Groove",2000,86,6,1171,500000,"drama"
"21376","Groove Tube, The",1974,75,5.4,490,200000,"comedy"
"21402","Growin' a Beard",2003,29,8.7,7,10000,"documentary"
"21459","Guerra de Canudos",1997,170,7.5,126,6000000,"drama"
"21472","Guerre du feu, La",1981,100,7.1,2059,12500000,"drama"
"21571","Guncrazy",1992,97,5.5,437,800000,"drama"
"21602","Gunrunner, The",1984,78,3.2,84,2000000,"drama"
"21642","Gutter Balls",2003,29,8.3,7,4000,"comedy"
"21657","Guyver: Dark Hero",1994,127,4.9,283,900000,"action"
"21706","HWY: An American Pastoral",1969,50,9,14,30000,"drama"
"21806","Half Past Dead",2002,98,3.9,2099,30000000,"action"
"21926","Hang 'Em High",1968,114,6.7,3003,1800000,"drama"
"21935","Hanging Tree, The",1959,106,7.2,307,1350000,"drama"
"22012","Happy Gilmore",1996,92,6.8,17746,10000000,"comedy"
"22036","Happy Road, The",1957,99,5.4,34,500000,"comedy"
"22043","Happy, Texas",1999,98,6.4,3453,1700000,"comedy"
"22054","Hard Ball",2001,109,6,3083,21000000,"drama"
"22064","Hard Day's Night, A",1964,87,7.7,6314,560000,"comedy"
"22069","Hard Feelings",1982,105,5.9,7,4000000,"drama"
"22088","Hard Target",1993,73,5.4,4372,15000000,"action"
"22101","Hard to Handle",1933,78,6.9,60,189000,"comedy"
"22119","Hardware",1990,93,5.2,1323,1500000,"action"
"22166","Harold & Kumar Go to White Castle",2004,90,7.1,8376,9000000,"comedy"
"22170","Harper",1966,121,7,632,3500000,"drama"
"22199","Hart's War",2002,125,6.2,6368,70000000,"drama"
"22245","Hatred of a Minute",2002,83,5.2,96,300000,"romance"
"22266","Haunted Mansion, The",2003,87,5,3341,90000000,"comedy"
"22275","Haunting Fear",1991,88,3.7,50,115000,"drama"
"22295","Hav Plenty",1997,84,5.3,256,650000,"comedy"
"22299","Have Rocket, Will Travel",1959,76,5.6,93,380000,"comedy"
"22311","Hawaii",1966,189,6.1,447,15000000,"drama"
"22345","He Got Game",1998,137,6.6,4198,25000000,"drama"
"22367","Head",1968,110,6.1,1119,750000,"comedy"
"22390","Heads or Tails",2005,100,7.8,35,17000,"drama"
"22409","Heart of America",2003,87,6.1,204,3000000,"drama"
"22419","Heart of the North",1938,83,5.1,10,400000,"action"
"22431","Heartbeeps",1981,79,4.2,234,10000000,"comedy"
"22448","Hearts in Atlantis",2001,101,6.7,6577,31000000,"drama"
"22452","Hearts of Fire",1987,95,3.3,107,17000000,"drama"
"22465","Heat and Sunlight",1987,98,5.1,18,90000,"drama"
"22478","Heaven",2002,96,7.3,3857,11000000,"drama"
"22484","Heaven Knows, Mr. Allison",1957,108,7.4,931,3000000,"drama"
"22493","Heaven's Gate",1980,219,6.2,1439,44000000,"drama"
"22498","Heavenly Bodies!",1963,62,1,15,5000,"comedy"
"22574","Held Up",1999,89,4.6,555,8000000,"comedy"
"22604","Hell Is for Heroes",1962,90,7.2,629,2500000,"drama"
"22618","Hell to Eternity",1960,131,6.8,118,800000,"drama"
"22620","Hell's Angels",1930,127,7.6,329,3950000,"drama"
"22635","Hell's Kitchen",1998,95,4.5,491,6000000,"drama"
"22643","Hellboy",2004,132,6.7,15565,66000000,"action"
"22684","Help!",1965,90,7.1,2517,1500000,"comedy"
"22707","Hempsters: Plant the Seed",2003,90,6.4,6,250000,"documentary"
"22758","Her Knight",2003,29,8,9,16878,"romance"
"22767","Her Urge",2000,15,5.5,11,20000,"comedy"
"22801","Here Comes the Groom",1951,113,5.2,117,2117000,"comedy"
"22840","Heroes for Sale",1933,71,7.1,64,290000,"drama"
"22930","Hidden Agenda",2001,98,4.2,266,5000000,"action"
"22948","Hide and Creep",2004,85,3.7,42,20000,"comedy"
"22951","Hide and Seek",2005,101,5.2,3784,30000000,"drama"
"22958","Hideous Kinky",1998,98,6.1,1615,12000000,"drama"
"22967","High Anxiety",1977,94,6.4,2557,3400000,"comedy"
"22975","High Crimes",2002,115,6.1,6043,42000000,"drama"
"23010","High Sierra",1941,100,7.5,1640,455000,"drama"
"23019","High Strung",1991,93,6.2,391,300000,"comedy"
"23043","Highlander",1986,116,7.1,18146,16000000,"action"
"23044","Highlander II: The Quickening",1991,92,3.4,9264,30000000,"action"
"23045","Highlander III: The Sorcerer",1994,102,3.7,3388,26000000,"action"
"23047","Highlander: Endgame",2000,101,4.4,3773,15000000,"action"
"23058","Highway to Hell",1992,94,5.3,423,9000000,"comedy"
"23072","Hijo genial, Un",2003,90,1.6,7,1000000,"comedy"
"23184","His People",1925,93,6.7,6,93000,"drama"
"23195","His/Herstory",2003,20,7.6,5,33000,"drama"
"23232","History of the World: Part I",1981,97,6.4,5640,11000000,"comedy"
"23234","Hit List",1989,87,5.1,56,1500000,"action"
"23240","Hit and Runway",1999,108,6.7,189,1200000,"comedy"
"23258","Hitchhiker's Guide to the Galaxy, The",2005,110,6.9,7644,50000000,"comedy"
"23268","Hitler's Children",1943,82,6.1,116,75000,"drama"
"23318","Hocus Pocus",1993,96,5.3,3256,28000000,"comedy"
"23352","Hold That Ghost",1941,86,7.1,402,190000,"comedy"
"23406","Hollywood Boulevard",1976,83,4.9,116,60000,"comedy"
"23410","Hollywood Cavalcade",1939,97,6.1,43,2000000,"drama"
"23411","Hollywood Chainsaw Hookers",1988,75,4.1,241,23000,"comedy"
"23434","Hollywood North",2003,89,5.7,114,7000000,"comedy"
"23442","Hollywood Shuffle",1987,78,6.7,614,100000,"comedy"
"23443","Hollywood Sign, The",2001,90,5.3,196,12000000,"comedy"
"23461","Hollywood's World of Flesh",1963,72,1.1,5,14000,"documentary"
"23477","Holy Mountain, The",1973,114,7.6,598,750000,"drama"
"23499","Home Alone",1990,103,6.4,21670,15000000,"comedy"
"23516","Home Movies",1979,90,4.6,103,400000,"comedy"
"23534","Home of Our Own, A",1993,104,6.5,398,12000000,"drama"
"23553","Homeless in America",2004,30,7.2,10,500000,"documentary"
"23572","Hometown Legend",2002,108,4.6,186,2000000,"drama"
"23618","Honey Pot, The",1967,132,7.2,217,6000000,"comedy"
"23703","Hoop Dreams",1994,170,7.9,4668,700000,"documentary"
"23726","Hope and Play",2004,101,6.4,7,10500,"comedy"
"23737","Hopscotch",2004,7,9.6,5,1000,"drama"
"23788","Horsemen, The",1971,109,5.7,86,6000000,"drama"
"23811","Hostage",2005,113,6.6,3709,52000000,"drama"
"23843","Hot Java",2004,12,9.1,19,15000,"comedy"
"23881","Hot Touch, The",1982,93,4.8,13,4700000,"drama"
"23884","Hot Wax Zombies On Wheels",1999,88,2.4,52,160000,"comedy"
"23951","Hours, The",2002,114,7.6,16692,25000000,"drama"
"23952","House",1986,93,5.5,1672,3000000,"comedy"
"24005","House of Sand and Fog",2003,126,7.8,8164,16000000,"drama"
"24022","House of the Dead",2003,90,2.3,3921,7000000,"action"
"24024","House of the Long Shadows",1983,100,5.8,239,7500000,"comedy"
"24040","House on Turk Street, The",2002,103,5.5,1048,12000000,"drama"
"24064","How Harry Became a Tree",2001,99,6.7,115,6000000,"drama"
"24065","How High",2001,95,4.9,2916,12000000,"comedy"
"24070","How I Saved the World",2001,18,7.2,6,40000,"comedy"
"24089","How the West Was Won",1962,162,6.9,2029,14000000,"drama"
"24117","How to Live with a Vegan Without Killing Them",2004,84,5.5,10,330000,"comedy"
"24230","Hukkle",2002,75,7.1,433,100000,"drama"
"24271","Hummingbird",2004,48,9.2,12,50000,"documentary"
"24278","Hunchback of Notre Dame, The",1923,98,7.4,414,1250000,"drama"
"24301","Hungry Wives",1973,89,4.6,202,120000,"drama"
"24305","Hunt for Red October, The",1990,134,7.6,26666,30000000,"action"
"24315","Hunter, The",1980,97,5.8,559,8000000,"action"
"24319","Hunting Camp",2005,38,8.1,13,4000,"drama"
"24344","Hurricane",1997,91,6.6,424,500000,"drama"
"24349","Hurricane, The",1999,145,7.3,12445,38000000,"drama"
"24354","Husbands",1970,131,7,373,1000000,"drama"
"24369","Hustler, The",1961,134,8.2,8220,2000000,"drama"
"24413","I Am Sam",2001,132,7.2,9945,22000000,"drama"
"24420","I Am a Fugitive from a Chain Gang",1932,93,8.1,1198,195845,"drama"
"24432","I Come in Peace",1990,91,4.8,1033,7000000,"action"
"24437","I Cover the War",1937,68,3.4,22,70000,"action"
"24455","I Dreamed of Africa",2000,114,5.2,1113,34000000,"drama"
"24463","I Got the Hook Up",1998,93,3.2,412,3500000,"comedy"
"24466","I Heart Huckabees",2004,106,7,7262,22000000,"comedy"
"24527","I Never",2003,22,3.4,5,40000,"comedy"
"24553","I Take This Woman",1940,98,5.1,52,700000,"drama"
"24563","I Walk the Line",1970,95,6,211,4000000,"drama"
"24568","I Wanna Hold Your Hand",1978,104,6.7,530,2700000,"comedy"
"24629","I'll Be Seeing You",1945,85,6.8,130,3250000,"drama"
"24644","I'll Remember April",1999,90,6.2,222,1800000,"drama"
"24692","I, Robot",2004,115,7,22330,105000000,"action"
"24723","Ice Cream Man",1995,84,4.2,349,2000000,"comedy"
"24734","Ice Storm, The",1997,112,7.5,13115,18000000,"drama"
"24779","Identity",2003,90,7.3,18747,30000000,"drama"
"24793","Idle Hands",1999,92,5.4,5892,20000000,"comedy"
"24848","Igry motylkov",2004,105,7.3,23,1200000,"drama"
"24937","Imaginary Girls",2004,30,7.6,7,8000,"drama"
"24967","Immoral Mr. Teas, The",1959,63,3.7,89,24000,"comedy"
"25019","In & Out",1997,92,6.2,10352,35000000,"comedy"
"25026","In Cold Blood",1967,129,8,2406,3500000,"drama"
"25029","In Crowd, The",2000,104,4,1342,15000000,"drama"
"25075","In Person",1935,87,6.1,47,493000,"comedy"
"25076","In Plain Sight",2004,86,7.2,5,50000,"comedy"
"25097","In Their Absence",2003,8,9.6,7,3500,"drama"
"25099","In This World",2002,88,7.8,815,1900000,"drama"
"25101","In Too Deep",1999,95,5.8,978,7000000,"drama"
"25132","In the Bedroom",2001,130,7.4,10177,1700000,"drama"
"25139","In the Company of Men",1997,97,7.3,3618,25000,"comedy"
"25150","In the Heat of the Night",1967,109,8,6752,2000000,"drama"
"25153","In the Land of Milk and Money",2004,89,5.6,7,150000,"comedy"
"25156","In the Line of Fire",1993,138,7.3,12923,40000000,"drama"
"25178","In the Shadows",2001,105,4.8,268,10000000,"drama"
"25217","Inchon",1981,140,3.3,131,46000000,"drama"
"25219","Incident at Loch Ness",2004,94,6.4,251,1400000,"comedy"
"25272","Independence Day",1996,153,6.1,61831,75000000,"action"
"25292","Indiana Jones and the Last Crusade",1989,127,8.1,61583,48000000,"action"
"25293","Indiana Jones and the Temple of Doom",1984,118,7.2,34880,28000000,"action"
"25348","Informer, The",1935,91,7.3,599,243000,"drama"
"25397","Innocence Project, The",2004,26,9.8,6,1000,"documentary"
"25398","Innocent",2001,16,7,8,25000,"drama"
"25414","Innsmouth Legacy",2004,10,6.4,8,1000,"drama"
"25464","Insider, The",1999,157,8,28780,68000000,"drama"
"25473","Insomnia",2001,6,7.1,13,0,"drama"
"25474","Insomnia",2002,118,7.3,22235,46000000,"drama"
"25476","Insomniac's Nightmare, An",2003,31,7,57,20000,"drama"
"25490","Inspiration",1931,74,6,65,438000,"drama"
"25494","Instinct",1999,126,6.1,6298,55000000,"drama"
"25500","Insutooru",2004,94,6.1,7,2000000,"drama"
"25505","Intended, The",2002,110,6.8,40,3800000,"drama"
"25515","Interiors",1978,93,7.1,1736,10000000,"drama"
"25536","Interpreter, The",2005,128,6.6,4678,80000000,"drama"
"25539","Interruption, The",2004,25,5.5,14,70000,"drama"
"25549","Interview with the Assassin",2002,88,6.7,409,750000,"drama"
"25550","Interview with the Vampire: The Vampire Chronicles",1994,123,7.2,26698,50000000,"drama"
"25565","Intimations",2004,20,8,9,39000,"drama"
"25579","Into the Sun",2005,97,4,481,16000000,"action"
"25587","Intolerance: Love's Struggle Through the Ages",1916,197,7.8,1493,385907,"drama"
"25599","Intruder, The",1962,84,8,163,80000,"drama"
"25617","Invasion U.S.A.",1985,107,3.9,692,10000000,"action"
"25618","Invasion USA",1952,73,2.8,130,127000,"drama"
"25646","Invisible Agent",1942,81,6,78,322000,"comedy"
"25664","Invisible Stripes",1939,81,6.8,111,500000,"drama"
"25676","Invitation to the Dance",1956,93,6.4,86,1500000,"animation"
"25677","Invitation to the Wedding",1985,90,4.3,7,8000000,"comedy"
"25743","Iron Giant, The",1999,86,7.9,15151,48000000,"animation"
"25770","Is It True What They Say About Ann?",2004,40,7.3,25,5000,"documentary"
"25787","Ish HaHashmal",2003,90,4.5,6,900000,"drama"
"25791","Ishtar",1987,107,3.7,3479,40000000,"comedy"
"25804","Island in the Sky",1953,109,5.5,100,967000,"drama"
"25808","Island of Dr. Moreau, The",1977,99,5.4,620,6000000,"romance"
"25870","It Happened Here",1966,97,6.5,160,20000,"drama"
"25881","It Happened on 5th Avenue",1947,116,7.6,69,1700000,"comedy"
"25898","It Started with Eve",1941,90,7.4,136,1166000,"comedy"
"25921","It's Impossible to Learn to Plow by Reading Books",1988,85,5.2,58,3000,"drama"
"25977","Italian Job, The",2003,111,6.9,18496,60000000,"action"
"26040","J-K Conspiracy, The",2004,89,9.2,20,44000,"comedy"
"26048","JFK",1991,206,7.8,26456,40000000,"drama"
"26055","Jabberwocky",1977,105,6,2109,500000,"comedy"
"26078","Jack and the Beanstalk",1952,78,5.2,268,683000,"comedy"
"26082","Jack of Diamonds",2001,84,1.7,6,1500000,"action"
"26102","Jackie Brown",1997,154,7.5,28891,12000000,"drama"
"26116","Jacob's Ladder",1990,115,7.3,8901,25000000,"drama"
"26173","Jake's Booty Call",2003,77,7,10,50000,"comedy"
"26189","James Dean Story, The",1957,81,5.7,109,35000,"documentary"
"26194","James and the Giant Peach",1996,79,6.6,3144,38000000,"animation"
"26238","Japanese Story",2003,105,7,1330,5740000,"drama"
"26249","Jason Goes to Hell: The Final Friday",1993,91,3.9,2651,2500000,"action"
"26251","Jason and the Argonauts",1963,104,7.2,2408,1000000,"action"
"26252","Jason's Lyric",1994,119,6,445,7000000,"drama"
"26264","Jaws 3-D",1983,99,3.2,5028,20500000,"action"
"26269","Jay and Silent Bob Strike Back",2001,104,6.9,24211,22000000,"comedy"
"26324","Jeepers Creepers",2001,90,5.4,10973,10000000,"drama"
"26328","Jefferson in Paris",1995,139,5.6,665,14000000,"drama"
"26340","Jelly Pilgrim",2004,4,2,6,60000,"animation"
"26412","Jesus",1979,117,5.9,316,6000000,"drama"
"26420","Jesus' Son",1999,107,6.9,2291,2500000,"drama"
"26423","Jet Attack",1958,68,3.4,32,100000,"drama"
"26454","Jezebel",1938,104,7.4,1163,1250000,"drama"
"26502","Jim the World's Greatest",1976,94,5,13,100000,"drama"
"26528","Jing Gai'er",2004,108,8.9,14,700000,"comedy"
"26563","Jitterbugs",1943,75,5.7,74,310600,"comedy"
"26564","Jitters, The",1989,95,2.5,27,475000,"action"
"26575","Joan the Woman",1917,138,7.2,56,302976,"drama"
"26586","Joe",1970,102,6.6,361,106000,"drama"
"26609","Joe's Apartment",1996,80,5,2169,13000000,"comedy"
"26629","John Boorman Stole My Screenplay",2004,3,2.8,5,2000,"comedy"
"26632","John Goldfarb, Please Come Home",1965,96,4.8,170,4000000,"comedy"
"26644","John Q",2002,116,6.4,8952,36000000,"drama"
"26671","Johnny Firecloud",1975,94,5.1,34,200000,"drama"
"26682","Johnny Mnemonic",1995,96,4.7,8258,26000000,"action"
